counterparty_id,company_id
20715,637816
109639,20324
110715,20324
112952,278515
112956,42811
112957,7194
112957,512410
112958,6822
112960,379232
112962,7233
112964,7234
112970,512411
112976,17295
112976,536677
112989,17295
113007,150548
113028,17295
113032,17295
113032,419155
113043,18124
113043,18618
113052,347448
113054,508022
113063,338255
113065,26541
113068,18065
113069,9142
113070,18064
113080,59328
113084,801
113124,18251
113130,1053
113130,1454
113373,27018
113395,6820
113395,14249
113462,1650268
113767,377050
113777,104954
113813,26586
113832,6727
113841,41498
113872,4417
113872,67626
113876,531631
113891,17874
113896,4417
113902,497872
113903,511875
113904,1724
113910,21639
113922,17874
113939,4509
113940,39412
113997,30370
114015,17874
114073,36671
114074,942
114081,4517
114081,41991
114105,26393
114115,21567
114119,40158
114136,15949
114144,21567
114171,7935
114175,507179
114179,6729
114181,400298
114189,18256
114195,1077
114195,41306
114196,9469
114203,1534
114217,9469
114221,21567
114221,179468
114222,6759
114223,372096
114223,471386
114277,27368
114294,41306
114295,11982
114298,506686
114301,37966
114322,636337
114336,10607
114345,40175
114347,7575
114347,7616
114361,10882
114445,27484
114516,278132
114584,635502
114588,4222
121718,507179
121727,1654874
121847,512299
121866,218487
121963,20324
122002,42811
122126,515691
122143,10969
122582,20324
122692,512299
123145,395723
123242,20324
123589,20324
123699,20324
123727,42811
123757,5673
123842,27484
123880,27484
123984,20324
124062,20324
124107,20324
124239,512299
124254,20324
124644,20324
125117,512299
125164,5673
125217,20324
125433,20324
125474,20324
125902,5673
126384,2593230
126470,20324
126537,20324
127423,73160
127614,20324
127868,506686
128113,87577
128155,1683758
128307,514216
128420,497044
128452,512274
128504,1141
128552,40035
128664,167860
128777,40035
128791,248270
128815,63630
129361,275654
129365,638246
129405,40035
129485,285868
129498,11982
129564,400686
129569,27368
129580,11982
129602,27446
129618,11982
129638,1698335
129744,511564
129777,1652338
130032,13645
130039,531559
130202,724651
130373,28428
130387,8074
130477,8074
130496,512390
130498,92251
130544,6739
130546,1141
130620,533832
130622,6738
130644,38854
130648,1671532
130734,27446
130836,507756
130939,54921
130949,38844
130959,510849
130960,510849
130966,26530
130996,512755
130998,8255
131014,92251
131014,725785
131016,12063
131016,38144
131019,36641
131075,1627617
131106,1141
131126,513722
131174,514430
131195,39844
131198,1686158
131241,6761
131241,505633
131243,501296
131250,814
131345,319641
131345,319649
131345,512300
131357,515879
131417,632873
131456,20324
131486,632458
131601,509765
131636,36172
131727,7204
131789,632873
131800,6744
131802,12063
131806,4492
131806,5667
131818,6736
131820,6736
131820,377985
131836,8074
131866,508967
131876,42811
131889,15220
131919,27473
131943,503614
131943,515562
131946,515762
131950,395746
131951,503283
131951,514855
131955,395753
131955,516089
131958,501642
131958,513290
131958,2577086
131962,395781
131962,515665
132003,395737
132003,1648936
132010,395803
132014,531631
132023,502154
132051,38844
132053,38844
132055,38844
132057,38844
132059,512355
132091,508880
132110,38854
132131,12063
132135,17295
132136,17295
132201,27493
132201,424259
132201,1677856
132205,424821
132206,425128
132206,502951
132210,1691567
132211,425204
340639,533804
340652,7508
340693,7409
340695,7413
340696,9517
340736,1638951
340847,130760
340862,367026
340889,370451
340901,510028
340918,39959
340965,164537
341008,726051
341028,510471
341116,176222
341263,509421
341275,8422
341380,37418
341477,250897
341603,512728
341664,6761
341667,499910
341721,409517
341796,478259
341840,6783
342054,27368
342054,1703481
342058,33921
342084,377489
342199,29336
342261,508827
343154,511144
344339,506686
344391,633042
344681,515774
345632,518588
347781,27455
347782,36388
347873,38147
349598,282365
349641,6729
349707,6678
349725,27484
349735,6739
350031,181196
350323,285337
350365,41306
350365,154681
350371,6783
350381,41306
351732,27484
351733,27484
351736,27484
351740,27484
351828,27484
353220,506686
353543,5673
354562,2576902
355028,429023
355102,28336
355710,508242
355711,508242
356667,1699
356667,145632
357298,4222
359014,291486
359356,5673
360404,5673
360413,55059
360999,5673
361937,1709142
362626,41071
362673,5680
364700,6761
364741,259948
364741,534982
364747,260469
364751,8255
364820,4222
364830,508242
364966,16531
365058,4222
365092,14249
365280,507949
365453,14249
365969,2575896
367141,507699
367168,34898
367734,14249
367923,1692289
368215,4222
368294,2583224
368936,364201
368940,632137
368965,1681582
369061,1725027
